"","Location","Price","Rooms","Car.Parks","Property.Type","Land.Type","Land.Size.Sq.ft","Extra_Rooms"
"41749","Segambut",698000,3,2,"Condominium (Intermediate)","Built-up ",1298,0
"41750","Segambut",7e+05,3,2,"Condominium","Built-up ",1168,1
"41751","Segambut",645000,3,2,"Condominium","Built-up ",1557,1
"41752","Segambut",590000,2,1,"Serviced Residence","Built-up ",713,0
"41753","Segambut",930000,3,2,"Condominium","Built-up ",1300,0
"41754","Segambut",980000,3,2,"Condominium","Built-up ",1300,1
"41755","Segambut",6e+05,2,2,"Condominium (Intermediate)","Built-up ",1021,1
"41756","Segambut",740000,3,2,"Condominium (Intermediate)","Built-up ",1168,0
"41757","Segambut",645000,2,2,"Condominium (Intermediate)","Built-up ",1021,1
"41758","Segambut",580000,3,2,"3-sty Terrace/Link House","Land area ",592,0
"41759","Segambut",580000,3,2,"Serviced Residence (Corner)","Built-up ",958,0
"41760","Segambut",850000,3,2,"Condominium","Built-up ",1788,1
"41761","Segambut",1450000,3,2,"Condominium (Corner)","Built-up ",1856,1
"41762","Segambut",1380000,3,2,"Condominium (Corner)","Built-up ",1856,1
"41763","Segambut",1118316,4,2,"Condominium (Corner)","Built-up ",2378,1
"41764","Segambut",1900760,5,2,"3-sty Terrace/Link House (Intermediate)","Built-up ",4068,1
"41765","Segambut",1215076,4,2,"Condominium (EndLot)","Built-up ",2586,1
"41766","Segambut",7e+05,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41767","Segambut",686656,4,1,"Serviced Residence (Duplex)","Built-up ",1126,0
"41768","Segambut",580000,4,1,"Serviced Residence (Intermediate)","Built-up ",742,0
"41769","Segambut",2100000,7,2,"4-sty Terrace/Link House (Corner)","Land area ",990,0
"41770","Segambut",1700000,7,2,"4-sty Terrace/Link House (Intermediate)","Built-up ",4865,0
"41771","Segambut",2545772,5,2,"3-sty Terrace/Link House (Corner)","Built-up ",4266,1
"41772","Segambut",711849,4,2,"Serviced Residence (Intermediate)","Built-up ",1152,0
"41773","Segambut",743529,4,2,"Serviced Residence (Intermediate)","Built-up ",1206,0
"41774","Segambut",580000,3,2,"Serviced Residence (Intermediate)","Built-up ",958,0
"41775","Segambut",580000,2,1,"Serviced Residence (EndLot)","Built-up ",829,1
"41776","Segambut",598000,3,2,"Condominium (Intermediate)","Built-up ",1021,0
"41777","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1049,0
"41778","Segambut",580000,3,1,"Apartment (Intermediate)","Built-up ",1049,0
"41779","Segambut",1950000,5,3,"3-sty Terrace/Link House (Intermediate)","Land area ",2045,1
"41780","Segambut",620000,3,2,"Condominium","Built-up ",1168,0
"41781","Segambut",8e+05,4,3,"Condominium (Corner)","Built-up ",1893,1
"41782","Segambut",635000,3,3,"Condominium (Corner)","Built-up ",1577,1
